Bafata[Guinea-Bissau]---108,01km--->Barro[Guinea-Bissau]
Barro[Guinea-Bissau]---148,91km--->Barra[Gambia]
Barra[Gambia]---15,57km--->Banjul[Gambia]
Banjul[Gambia]---797,15km--->Assomada[Cape Verde]
Assomada[Cape Verde]---1552,87km--->Baoma[Sierra Leone]
Baoma[Sierra Leone]---743,12km--->Banfora[Burkina Faso]
Banfora[Burkina Faso]---455,34km--->Abengourou[Ivory Coast]
Abengourou[Ivory Coast]---81,69km--->Adzope[Ivory Coast]
Adzope[Ivory Coast]---44,25km--->Agboville[Ivory Coast]
Agboville[Ivory Coast]---63,86km--->Abidjan[Ivory Coast]
Abidjan[Ivory Coast]---101,26km--->Aboisso[Ivory Coast]
Aboisso[Ivory Coast]---110,35km--->Axim[Ghana]
Axim[Ghana]---151,17km--->Awaso[Ghana]
Awaso[Ghana]---240,16km--->Accra[Ghana]
Accra[Ghana]---971,50km--->Ana[Sao Tome and Principe]
Ana[Sao Tome and Principe]---376,17km--->Bata[Equatorial Guinea]
Bata[Equatorial Guinea]---42,14km--->Ayamiken[Equatorial Guinea]
Ayamiken[Equatorial Guinea]---66,65km--->Akurenan[Equatorial Guinea]
Akurenan[Equatorial Guinea]---493,57km--->Akieni[Gabon]
Akieni[Gabon]---450,66km--->Bandundu[Congo (Kinshasa)]
Bandundu[Congo (Kinshasa)]---1637,31km--->Arua[Uganda]
Arua[Uganda]---285,96km--->Adilang[Uganda]
Adilang[Uganda]---661,40km--->Arusha[Tanzania]
Arusha[Tanzania]---366,16km--->Bagamoyo[Tanzania]
Bagamoyo[Tanzania]---782,28km--->Bamboa[Comoros]
Bamboa[Comoros]---93,60km--->Bandeli[Comoros]
Bandeli[Comoros]---343,49km--->Andoany[Madagascar]
Andoany[Madagascar]---113,77km--->Antsohihy[Madagascar]
